address,annotations,bio
ش مكرم عبيد في شبرا الخيمه مبنى الرياض النزهه,"{""CITY"": ""شبرا الخيمه"", ""AREA"": ""النزهه"", ""STREET"": ""مكرم عبيد"", ""BUILDING"": ""الرياض""}","[[""ش"", ""O""], [""مكرم"", ""B-STREET""], [""عبيد"", ""I-STREET""], [""في"", ""O""], [""شبرا"", ""B-CITY""], [""الخيمه"", ""I-CITY""], [""مبنى"", ""O""], [""الرياض"", ""B-BUILDING""], [""النزهه"", ""B-AREA""]]"
ميت غمر عقار 6 الدور 18 شارع الفلاح شقة 14,"{""CITY"": ""ميت غمر"", ""STREET"": ""الفلاح"", ""BUILDING"": ""6"", ""FLOOR"": ""18"", ""APARTMENT"": ""14""}","[[""ميت"", ""B-CITY""], [""غمر"", ""I-CITY""], [""عقار"", ""O""], [""6"", ""B-BUILDING""], [""الدور"", ""O""], [""18"", ""B-FLOOR""], [""شارع"", ""O""], [""الفلاح"", ""B-STREET""], [""شقة"", ""O""], [""14"", ""B-APARTMENT""]]"
مبنى كليوباترا الطابق العاشر محافظه الشرقيه منطقه المقطم شارع الكوربه,"{""CITY"": ""الشرقيه"", ""AREA"": ""المقطم"", ""STREET"": ""الكوربه"", ""BUILDING"": ""كليوباترا"", ""FLOOR"": ""العاشر""}","[[""مبنى"", ""O""], [""كليوباترا"", ""B-BUILDING""], [""الطابق"", ""O""], [""العاشر"", ""B-FLOOR""], [""محافظه"", ""O""], [""الشرقيه"", ""B-CITY""], [""منطقه"", ""O""], [""المقطم"", ""B-AREA""], [""شارع"", ""O""], [""الكوربه"", ""B-STREET""]]"
المعصره مبنى 16 الدور ١٨ ورا صيدليه النور ش البحر,"{""AREA"": ""المعصره"", ""STREET"": ""البحر"", ""LANDMARK"": ""صيدليه النور"", ""BUILDING"": ""16"", ""FLOOR"": ""١٨""}","[[""المعصره"", ""B-AREA""], [""مبنى"", ""O""], [""16"", ""B-BUILDING""], [""الدور"", ""O""], [""١٨"", ""B-FLOOR""], [""ورا"", ""O""], [""صيدليه"", ""B-LANDMARK""], [""النور"", ""I-LANDMARK""], [""ش"", ""O""], [""البحر"", ""B-STREET""]]"
في رشيد شارع السلام الدور ١ مبنى التوحيد شقه 16 منشيه عند مستشفي النور,"{""CITY"": ""رشيد"", ""AREA"": ""منشيه"", ""STREET"": ""السلام"", ""LANDMARK"": ""مستشفي النور"", ""BUILDING"": ""التوحيد"", ""FLOOR"": ""١"", ""APARTMENT"": ""16""}","[[""في"", ""O""], [""رشيد"", ""B-CITY""], [""شارع"", ""O""], [""السلام"", ""B-STREET""], [""الدور"", ""O""], [""١"", ""B-FLOOR""], [""مبنى"", ""O""], [""التوحيد"", ""B-BUILDING""], [""شقه"", ""O""], [""16"", ""B-APARTMENT""], [""منشيه"", ""B-AREA""], [""عند"", ""O""], [""مستشفي"", ""B-LANDMARK""], [""النور"", ""I-LANDMARK""]]"
النزهه ميت غمر,"{""CITY"": ""ميت غمر"", ""AREA"": ""النزهه""}","[[""النزهه"", ""B-AREA""], [""ميت"", ""B-CITY""], [""غمر"", ""I-CITY""]]"
شقه ١٦ شارع البحرين المنيب دور ١٧,"{""AREA"": ""المنيب"", ""STREET"": ""البحرين"", ""FLOOR"": ""١٧"", ""APARTMENT"": ""١٦""}","[[""شقه"", ""O""], [""١٦"", ""B-APARTMENT""], [""شارع"", ""O""], [""البحرين"", ""B-STREET""], [""المنيب"", ""B-AREA""], [""دور"", ""O""], [""١٧"", ""B-FLOOR""]]"
التجمع البحيره,"{""CITY"": ""البحيره"", ""AREA"": ""التجمع""}","[[""التجمع"", ""B-AREA""], [""البحيره"", ""B-CITY""]]"
محافظه طنطا بيت ١٢ شارع النصر قريب من كافيه الامل طابق التامن,"{""CITY"": ""طنطا"", ""STREET"": ""النصر"", ""LANDMARK"": ""كافيه الامل"", ""BUILDING"": ""١٢"", ""FLOOR"": ""التامن""}","[[""محافظه"", ""O""], [""طنطا"", ""B-CITY""], [""بيت"", ""O""], [""١٢"", ""B-BUILDING""], [""شارع"", ""O""], [""النصر"", ""B-STREET""], [""قريب"", ""O""], [""من"", ""O""], [""كافيه"", ""B-LANDMARK""], [""الامل"", ""I-LANDMARK""], [""طابق"", ""O""], [""التامن"", ""B-FLOOR""]]"
في بورسعيد شقة ٣ ورا المعهد المطريه,"{""CITY"": ""بورسعيد"", ""AREA"": ""المطريه"", ""LANDMARK"": ""المعهد"", ""APARTMENT"": ""٣""}","[[""في"", ""O""], [""بورسعيد"", ""B-CITY""], [""شقة"", ""O""], [""٣"", ""B-APARTMENT""], [""ورا"", ""O""], [""المعهد"", ""B-LANDMARK""], [""المطريه"", ""B-AREA""]]"
عقار ٢ شقة 8 الزقازيق,"{""CITY"": ""الزقازيق"", ""BUILDING"": ""٢"", ""APARTMENT"": ""8""}","[[""عقار"", ""O""], [""٢"", ""B-BUILDING""], [""شقة"", ""O""], [""8"", ""B-APARTMENT""], [""الزقازيق"", ""B-CITY""]]"
بيت الفردوس بني سويف ش 9,"{""CITY"": ""بني سويف"", ""STREET"": ""9"", ""BUILDING"": ""الفردوس""}","[[""بيت"", ""O""], [""الفردوس"", ""B-BUILDING""], [""بني"", ""B-CITY""], [""سويف"", ""I-CITY""], [""ش"", ""O""], [""9"", ""B-STREET""]]"
شبرا بجانب مدرسه الامل شقه رقم 4 محافظه المنيا,"{""CITY"": ""المنيا"", ""AREA"": ""شبرا"", ""LANDMARK"": ""مدرسه الامل"", ""APARTMENT"": ""4""}","[[""شبرا"", ""B-AREA""], [""بجانب"", ""O""], [""مدرسه"", ""B-LANDMARK""], [""الامل"", ""I-LANDMARK""], [""شقه"", ""O""], [""رقم"", ""O""], [""4"", ""B-APARTMENT""], [""محافظه"", ""O""], [""المنيا"", ""B-CITY""]]"
شقه رقم ٩ برج ١٧ دمنهور تحت كافيه مكه شارع ١٠,"{""CITY"": ""دمنهور"", ""STREET"": ""١٠"", ""LANDMARK"": ""كافيه مكه"", ""BUILDING"": ""١٧"", ""APARTMENT"": ""٩""}","[[""شقه"", ""O""], [""رقم"", ""O""], [""٩"", ""B-APARTMENT""], [""برج"", ""O""], [""١٧"", ""B-BUILDING""], [""دمنهور"", ""B-CITY""], [""تحت"", ""O""], [""كافيه"", ""B-LANDMARK""], [""مكه"", ""I-LANDMARK""], [""شارع"", ""O""], [""١٠"", ""B-STREET""]]"
في السيده زينب المنصوره فيلا النور شقة 2 مقابل مدرسه الفردوس,"{""CITY"": ""المنصوره"", ""AREA"": ""السيده زينب"", ""LANDMARK"": ""مدرسه الفردوس"", ""BUILDING"": ""النور"", ""APARTMENT"": ""2""}","[[""في"", ""O""], [""السيده"", ""B-AREA""], [""زينب"", ""I-AREA""], [""المنصوره"", ""B-CITY""], [""فيلا"", ""O""], [""النور"", ""B-BUILDING""], [""شقة"", ""O""], [""2"", ""B-APARTMENT""], [""مقابل"", ""O""], [""مدرسه"", ""B-LANDMARK""], [""الفردوس"", ""I-LANDMARK""]]"
شارع 15 بيت ١٣ السويس,"{""CITY"": ""السويس"", ""STREET"": ""15"", ""BUILDING"": ""١٣""}","[[""شارع"", ""O""], [""15"", ""B-STREET""], [""بيت"", ""O""], [""١٣"", ""B-BUILDING""], [""السويس"", ""B-CITY""]]"
عماره ٤ شقه ٥ امام مستشفي النور السويس شارع الجيش,"{""CITY"": ""السويس"", ""STREET"": ""الجيش"", ""LANDMARK"": ""مستشفي النور"", ""BUILDING"": ""٤"", ""APARTMENT"": ""٥""}","[[""عماره"", ""O""], [""٤"", ""B-BUILDING""], [""شقه"", ""O""], [""٥"", ""B-APARTMENT""], [""امام"", ""O""], [""مستشفي"", ""B-LANDMARK""], [""النور"", ""I-LANDMARK""], [""السويس"", ""B-CITY""], [""شارع"", ""O""], [""الجيش"", ""B-STREET""]]"
في بولاق الدكرور قدام صيدليه السلام شقة ١١ الجيزه,"{""CITY"": ""الجيزه"", ""AREA"": ""بولاق الدكرور"", ""LANDMARK"": ""صيدليه السلام"", ""APARTMENT"": ""١١""}","[[""في"", ""O""], [""بولاق"", ""B-AREA""], [""الدكرور"", ""I-AREA""], [""قدام"", ""O""], [""صيدليه"", ""B-LANDMARK""], [""السلام"", ""I-LANDMARK""], [""شقة"", ""O""], [""١١"", ""B-APARTMENT""], [""الجيزه"", ""B-CITY""]]"
مبنى ١٢ شارع ١٥ محافظه كفر الشيخ,"{""CITY"": ""كفر الشيخ"", ""STREET"": ""١٥"", ""BUILDING"": ""١٢""}","[[""مبنى"", ""O""], [""١٢"", ""B-BUILDING""], [""شارع"", ""O""], [""١٥"", ""B-STREET""], [""محافظه"", ""O""], [""كفر"", ""B-CITY""], [""الشيخ"", ""I-CITY""]]"
شارع محمد نجيب البحيره شقه رقم 4 عماره الاهرام في العباسيه,"{""CITY"": ""البحيره"", ""AREA"": ""العباسيه"", ""STREET"": ""محمد نجيب"", ""BUILDING"": ""الاهرام"", ""APARTMENT"": ""4""}","[[""شارع"", ""O""], [""محمد"", ""B-STREET""], [""نجيب"", ""I-STREET""], [""البحيره"", ""B-CITY""], [""شقه"", ""O""], [""رقم"", ""O""], [""4"", ""B-APARTMENT""], [""عماره"", ""O""], [""الاهرام"", ""B-BUILDING""], [""في"", ""O""], [""العباسيه"", ""B-AREA""]]"
منطقه حلوان شقه ١٩ عقار النور جمب سوبر ماركت الامل القليوبيه,"{""CITY"": ""القليوبيه"", ""AREA"": ""حلوان"", ""LANDMARK"": ""سوبر ماركت الامل"", ""BUILDING"": ""النور"", ""APARTMENT"": ""١٩""}","[[""منطقه"", ""O""], [""حلوان"", ""B-AREA""], [""شقه"", ""O""], [""١٩"", ""B-APARTMENT""], [""عقار"", ""O""], [""النور"", ""B-BUILDING""], [""جمب"", ""O""], [""سوبر"", ""B-LANDMARK""], [""ماركت"", ""I-LANDMARK""], [""الامل"", ""I-LANDMARK""], [""القليوبيه"", ""B-CITY""]]"
الاسماعيليه ش سوريا شقة ٣,"{""CITY"": ""الاسماعيليه"", ""STREET"": ""سوريا"", ""APARTMENT"": ""٣""}","[[""الاسماعيليه"", ""B-CITY""], [""ش"", ""O""], [""سوريا"", ""B-STREET""], [""شقة"", ""O""], [""٣"", ""B-APARTMENT""]]"
دور ٩ الزمالك اسيوط برج ٢,"{""CITY"": ""اسيوط"", ""AREA"": ""الزمالك"", ""BUILDING"": ""٢"", ""FLOOR"": ""٩""}","[[""دور"", ""O""], [""٩"", ""B-FLOOR""], [""الزمالك"", ""B-AREA""], [""اسيوط"", ""B-CITY""], [""برج"", ""O""], [""٢"", ""B-BUILDING""]]"
في الجيزه حي الاتحاد,"{""CITY"": ""الجيزه"", ""AREA"": ""الاتحاد""}","[[""في"", ""O""], [""الجيزه"", ""B-CITY""], [""حي"", ""O""], [""الاتحاد"", ""B-AREA""]]"
دور 17 مبنى الاخلاص شبين الكوم,"{""CITY"": ""شبين الكوم"", ""BUILDING"": ""الاخلاص"", ""FLOOR"": ""17""}","[[""دور"", ""O""], [""17"", ""B-FLOOR""], [""مبنى"", ""O""], [""الاخلاص"", ""B-BUILDING""], [""شبين"", ""B-CITY""], [""الكوم"", ""I-CITY""]]"
بيت ١٠ الدور ١٤ دار السلام شقه 6 شارع ٤٥,"{""AREA"": ""دار السلام"", ""STREET"": ""٤٥"", ""BUILDING"": ""١٠"", ""FLOOR"": ""١٤"", ""APARTMENT"": ""6""}","[[""بيت"", ""O""], [""١٠"", ""B-BUILDING""], [""الدور"", ""O""], [""١٤"", ""B-FLOOR""], [""دار"", ""B-AREA""], [""السلام"", ""I-AREA""], [""شقه"", ""O""], [""6"", ""B-APARTMENT""], [""شارع"", ""O""], [""٤٥"", ""B-STREET""]]"
محافظه رشيد شقه ٣ الدور الثالث عند الجامعه شارع الشباب,"{""CITY"": ""رشيد"", ""STREET"": ""الشباب"", ""LANDMARK"": ""الجامعه"", ""FLOOR"": ""الثالث"", ""APARTMENT"": ""٣""}","[[""محافظه"", ""O""], [""رشيد"", ""B-CITY""], [""شقه"", ""O""], [""٣"", ""B-APARTMENT""], [""الدور"", ""O""], [""الثالث"", ""B-FLOOR""], [""عند"", ""O""], [""الجامعه"", ""B-LANDMARK""], [""شارع"", ""O""], [""الشباب"", ""B-STREET""]]"
دور ١١ عند مستشفي الهدى شقه ١٧ شارع عبد الرحمن الرافعي محافظه دمنهور المنيب عقار 14,"{""CITY"": ""دمنهور"", ""AREA"": ""المنيب"", ""STREET"": ""عبد الرحمن الرافعي"", ""LANDMARK"": ""مستشفي الهدى"", ""BUILDING"": ""14"", ""FLOOR"": ""١١"", ""APARTMENT"": ""١٧""}","[[""دور"", ""O""], [""١١"", ""B-FLOOR""], [""عند"", ""O""], [""مستشفي"", ""B-LANDMARK""], [""الهدى"", ""I-LANDMARK""], [""شقه"", ""O""], [""١٧"", ""B-APARTMENT""], [""شارع"", ""O""], [""عبد"", ""B-STREET""], [""الرحمن"", ""I-STREET""], [""الرافعي"", ""I-STREET""], [""محافظه"", ""O""], [""دمنهور"", ""B-CITY""], [""المنيب"", ""B-AREA""], [""عقار"", ""O""], [""14"", ""B-BUILDING""]]"
عقار ١٧ حي حدائق الاهرام طابق 11 ش عباس العقاد,"{""AREA"": ""حدائق الاهرام"", ""STREET"": ""عباس العقاد"", ""BUILDING"": ""١٧"", ""FLOOR"": ""11""}","[[""عقار"", ""O""], [""١٧"", ""B-BUILDING""], [""حي"", ""O""], [""حدائق"", ""B-AREA""], [""الاهرام"", ""I-AREA""], [""طابق"", ""O""], [""11"", ""B-FLOOR""], [""ش"", ""O""], [""عباس"", ""B-STREET""], [""العقاد"", ""I-STREET""]]"
عماره الهدى سوهاج شارع سوريا,"{""CITY"": ""سوهاج"", ""STREET"": ""سوريا"", ""BUILDING"": ""الهدى""}","[[""عماره"", ""O""], [""الهدى"", ""B-BUILDING""], [""سوهاج"", ""B-CITY""], [""شارع"", ""O""], [""سوريا"", ""B-STREET""]]"
محافظه اسوان بجوار كافيه مكه شقه ٢ ميت عقبه,"{""CITY"": ""اسوان"", ""AREA"": ""ميت عقبه"", ""LANDMARK"": ""كافيه مكه"", ""APARTMENT"": ""٢""}","[[""محافظه"", ""O""], [""اسوان"", ""B-CITY""], [""بجوار"", ""O""], [""كافيه"", ""B-LANDMARK""], [""مكه"", ""I-LANDMARK""], [""شقه"", ""O""], [""٢"", ""B-APARTMENT""], [""ميت"", ""B-AREA""], [""عقبه"", ""I-AREA""]]"
فيلا الرياض بجانب نادي الجيش دور 17 القطاميه شقه 11,"{""AREA"": ""القطاميه"", ""LANDMARK"": ""نادي الجيش"", ""BUILDING"": ""الرياض"", ""FLOOR"": ""17"", ""APARTMENT"": ""11""}","[[""فيلا"", ""O""], [""الرياض"", ""B-BUILDING""], [""بجانب"", ""O""], [""نادي"", ""B-LANDMARK""], [""الجيش"", ""I-LANDMARK""], [""دور"", ""O""], [""17"", ""B-FLOOR""], [""القطاميه"", ""B-AREA""], [""شقه"", ""O""], [""11"", ""B-APARTMENT""]]"
في بولاق الدكرور دمنهور,"{""CITY"": ""دمنهور"", ""AREA"": ""بولاق الدكرور""}","[[""في"", ""O""], [""بولاق"", ""B-AREA""], [""الدكرور"", ""I-AREA""], [""دمنهور"", ""B-CITY""]]"
سموحه شقة 15 جنب بنك الامل محافظه الاسماعيليه,"{""CITY"": ""الاسماعيليه"", ""AREA"": ""سموحه"", ""LANDMARK"": ""بنك الامل"", ""APARTMENT"": ""15""}","[[""سموحه"", ""B-AREA""], [""شقة"", ""O""], [""15"", ""B-APARTMENT""], [""جنب"", ""O""], [""بنك"", ""B-LANDMARK""], [""الامل"", ""I-LANDMARK""], [""محافظه"", ""O""], [""الاسماعيليه"", ""B-CITY""]]"
طابق الثاني بني سويف عماره 8 شارع صلاح سالم,"{""CITY"": ""بني سويف"", ""STREET"": ""صلاح سالم"", ""BUILDING"": ""8"", ""FLOOR"": ""الثاني""}","[[""طابق"", ""O""], [""الثاني"", ""B-FLOOR""], [""بني"", ""B-CITY""], [""سويف"", ""I-CITY""], [""عماره"", ""O""], [""8"", ""B-BUILDING""], [""شارع"", ""O""], [""صلاح"", ""B-STREET""], [""سالم"", ""I-STREET""]]"
امام كافيه الهدى حي المعصره عقار 12 شقه رقم ٨,"{""AREA"": ""المعصره"", ""LANDMARK"": ""كافيه الهدى"", ""BUILDING"": ""12"", ""APARTMENT"": ""٨""}","[[""امام"", ""O""], [""كافيه"", ""B-LANDMARK""], [""الهدى"", ""I-LANDMARK""], [""حي"", ""O""], [""المعصره"", ""B-AREA""], [""عقار"", ""O""], [""12"", ""B-BUILDING""], [""شقه"", ""O""], [""رقم"", ""O""], [""٨"", ""B-APARTMENT""]]"
العامريه شارع اكتوبر الدور التالت شقه 7 عماره الرياحين,"{""AREA"": ""العامريه"", ""STREET"": ""اكتوبر"", ""BUILDING"": ""الرياحين"", ""FLOOR"": ""التالت"", ""APARTMENT"": ""7""}","[[""العامريه"", ""B-AREA""], [""شارع"", ""O""], [""اكتوبر"", ""B-STREET""], [""الدور"", ""O""], [""التالت"", ""B-FLOOR""], [""شقه"", ""O""], [""7"", ""B-APARTMENT""], [""عماره"", ""O""], [""الرياحين"", ""B-BUILDING""]]"
في السيده زينب محافظه المنصوره شقه 5 تحت بنك السلام,"{""CITY"": ""المنصوره"", ""AREA"": ""السيده زينب"", ""LANDMARK"": ""بنك السلام"", ""APARTMENT"": ""5""}","[[""في"", ""O""], [""السيده"", ""B-AREA""], [""زينب"", ""I-AREA""], [""محافظه"", ""O""], [""المنصوره"", ""B-CITY""], [""شقه"", ""O""], [""5"", ""B-APARTMENT""], [""تحت"", ""O""], [""بنك"", ""B-LANDMARK""], [""السلام"", ""I-LANDMARK""]]"
شقه 15 دور 5 في الاقصر,"{""CITY"": ""الاقصر"", ""FLOOR"": ""5"", ""APARTMENT"": ""15""}","[[""شقه"", ""O""], [""15"", ""B-APARTMENT""], [""دور"", ""O""], [""5"", ""B-FLOOR""], [""في"", ""O""], [""الاقصر"", ""B-CITY""]]"
في الدقهليه ش السوق مبنى ١٩,"{""CITY"": ""الدقهليه"", ""STREET"": ""السوق"", ""BUILDING"": ""١٩""}","[[""في"", ""O""], [""الدقهليه"", ""B-CITY""], [""ش"", ""O""], [""السوق"", ""B-STREET""], [""مبنى"", ""O""], [""١٩"", ""B-BUILDING""]]"
شارع ٤٥ فيلا سان ستيفانو الطابق ١٤ اسكندريه شقه 11,"{""CITY"": ""اسكندريه"", ""STREET"": ""٤٥"", ""BUILDING"": ""سان ستيفانو"", ""FLOOR"": ""١٤"", ""APARTMENT"": ""11""}","[[""شارع"", ""O""], [""٤٥"", ""B-STREET""], [""فيلا"", ""O""], [""سان"", ""B-BUILDING""], [""ستيفانو"", ""I-BUILDING""], [""الطابق"", ""O""], [""١٤"", ""B-FLOOR""], [""اسكندريه"", ""B-CITY""], [""شقه"", ""O""], [""11"", ""B-APARTMENT""]]"
محافظه الدقهليه الشيخ زايد,"{""CITY"": ""الدقهليه"", ""AREA"": ""الشيخ زايد""}","[[""محافظه"", ""O""], [""الدقهليه"", ""B-CITY""], [""الشيخ"", ""B-AREA""], [""زايد"", ""I-AREA""]]"
شبرا الخيمه شقه رقم 10 القطاميه دور ٨ شارع النصر مبنى الهدى,"{""CITY"": ""شبرا الخيمه"", ""AREA"": ""القطاميه"", ""STREET"": ""النصر"", ""BUILDING"": ""الهدى"", ""FLOOR"": ""٨"", ""APARTMENT"": ""10""}","[[""شبرا"", ""B-CITY""], [""الخيمه"", ""I-CITY""], [""شقه"", ""O""], [""رقم"", ""O""], [""10"", ""B-APARTMENT""], [""القطاميه"", ""B-AREA""], [""دور"", ""O""], [""٨"", ""B-FLOOR""], [""شارع"", ""O""], [""النصر"", ""B-STREET""], [""مبنى"", ""O""], [""الهدى"", ""B-BUILDING""]]"
شارع عمر بن الخطاب مبنى 10 شقه رقم ٢٠ النزهه المنيا,"{""CITY"": ""المنيا"", ""AREA"": ""النزهه"", ""STREET"": ""عمر بن الخطاب"", ""BUILDING"": ""10"", ""APARTMENT"": ""٢٠""}","[[""شارع"", ""O""], [""عمر"", ""B-STREET""], [""بن"", ""I-STREET""], [""الخطاب"", ""I-STREET""], [""مبنى"", ""O""], [""10"", ""B-BUILDING""], [""شقه"", ""O""], [""رقم"", ""O""], [""٢٠"", ""B-APARTMENT""], [""النزهه"", ""B-AREA""], [""المنيا"", ""B-CITY""]]"
شقه 8 القطاميه في الشرقيه بجانب بنك النور,"{""CITY"": ""الشرقيه"", ""AREA"": ""القطاميه"", ""LANDMARK"": ""بنك النور"", ""APARTMENT"": ""8""}","[[""شقه"", ""O""], [""8"", ""B-APARTMENT""], [""القطاميه"", ""B-AREA""], [""في"", ""O""], [""الشرقيه"", ""B-CITY""], [""بجانب"", ""O""], [""بنك"", ""B-LANDMARK""], [""النور"", ""I-LANDMARK""]]"
ميامي شقه ٧ بجانب مدرسه الفردوس الاسماعيليه,"{""CITY"": ""الاسماعيليه"", ""AREA"": ""ميامي"", ""LANDMARK"": ""مدرسه الفردوس"", ""APARTMENT"": ""٧""}","[[""ميامي"", ""B-AREA""], [""شقه"", ""O""], [""٧"", ""B-APARTMENT""], [""بجانب"", ""O""], [""مدرسه"", ""B-LANDMARK""], [""الفردوس"", ""I-LANDMARK""], [""الاسماعيليه"", ""B-CITY""]]"
محافظه القليوبيه منطقه البساتين,"{""CITY"": ""القليوبيه"", ""AREA"": ""البساتين""}","[[""محافظه"", ""O""], [""القليوبيه"", ""B-CITY""], [""منطقه"", ""O""], [""البساتين"", ""B-AREA""]]"
المقطم عماره الياسمين شارع عبد العزيز دور ١٨ امام مستشفي النور المنصوره,"{""CITY"": ""المنصوره"", ""AREA"": ""المقطم"", ""STREET"": ""عبد العزيز"", ""LANDMARK"": ""مستشفي النور"", ""BUILDING"": ""الياسمين"", ""FLOOR"": ""١٨""}","[[""المقطم"", ""B-AREA""], [""عماره"", ""O""], [""الياسمين"", ""B-BUILDING""], [""شارع"", ""O""], [""عبد"", ""B-STREET""], [""العزيز"", ""I-STREET""], [""دور"", ""O""], [""١٨"", ""B-FLOOR""], [""امام"", ""O""], [""مستشفي"", ""B-LANDMARK""], [""النور"", ""I-LANDMARK""], [""المنصوره"", ""B-CITY""]]"
شارع البحرين دور التاني سيدي جابر,"{""AREA"": ""سيدي جابر"", ""STREET"": ""البحرين"", ""FLOOR"": ""التاني""}","[[""شارع"", ""O""], [""البحرين"", ""B-STREET""], [""دور"", ""O""], [""التاني"", ""B-FLOOR""], [""سيدي"", ""B-AREA""], [""جابر"", ""I-AREA""]]"
ورا مدرسه النور فيلا ٩ دور 19 ش لبنان في السادس من اكتوبر شقه ١٤,"{""AREA"": ""السادس من اكتوبر"", ""STREET"": ""لبنان"", ""LANDMARK"": ""مدرسه النور"", ""BUILDING"": ""٩"", ""FLOOR"": ""19"", ""APARTMENT"": ""١٤""}","[[""ورا"", ""O""], [""مدرسه"", ""B-LANDMARK""], [""النور"", ""I-LANDMARK""], [""فيلا"", ""O""], [""٩"", ""B-BUILDING""], [""دور"", ""O""], [""19"", ""B-FLOOR""], [""ش"", ""O""], [""لبنان"", ""B-STREET""], [""في"", ""O""], [""السادس"", ""B-AREA""], [""من"", ""I-AREA""], [""اكتوبر"", ""I-AREA""], [""شقه"", ""O""], [""١٤"", ""B-APARTMENT""]]"
عقار ٨ في سيدي جابر جمب نادي الشمس في دمنهور دور 11 شقه 8,"{""CITY"": ""دمنهور"", ""AREA"": ""سيدي جابر"", ""LANDMARK"": ""نادي الشمس"", ""BUILDING"": ""٨"", ""FLOOR"": ""11"", ""APARTMENT"": ""8""}","[[""عقار"", ""O""], [""٨"", ""B-BUILDING""], [""في"", ""O""], [""سيدي"", ""B-AREA""], [""جابر"", ""I-AREA""], [""جمب"", ""O""], [""نادي"", ""B-LANDMARK""], [""الشمس"", ""I-LANDMARK""], [""في"", ""O""], [""دمنهور"", ""B-CITY""], [""دور"", ""O""], [""11"", ""B-FLOOR""], [""شقه"", ""O""], [""8"", ""B-APARTMENT""]]"
شقه 11 شارع الكوربه اسيوط,"{""CITY"": ""اسيوط"", ""STREET"": ""الكوربه"", ""APARTMENT"": ""11""}","[[""شقه"", ""O""], [""11"", ""B-APARTMENT""], [""شارع"", ""O""], [""الكوربه"", ""B-STREET""], [""اسيوط"", ""B-CITY""]]"
منطقه المقطم محافظه الجيزه شقه 20 بيت 14,"{""CITY"": ""الجيزه"", ""AREA"": ""المقطم"", ""BUILDING"": ""14"", ""APARTMENT"": ""20""}","[[""منطقه"", ""O""], [""المقطم"", ""B-AREA""], [""محافظه"", ""O""], [""الجيزه"", ""B-CITY""], [""شقه"", ""O""], [""20"", ""B-APARTMENT""], [""بيت"", ""O""], [""14"", ""B-BUILDING""]]"
سوهاج شارع 9 شقه ٤ حدائق الاهرام ورا مستشفي الجامعه,"{""CITY"": ""سوهاج"", ""AREA"": ""حدائق الاهرام"", ""STREET"": ""9"", ""LANDMARK"": ""مستشفي الجامعه"", ""APARTMENT"": ""٤""}","[[""سوهاج"", ""B-CITY""], [""شارع"", ""O""], [""9"", ""B-STREET""], [""شقه"", ""O""], [""٤"", ""B-APARTMENT""], [""حدائق"", ""B-AREA""], [""الاهرام"", ""I-AREA""], [""ورا"", ""O""], [""مستشفي"", ""B-LANDMARK""], [""الجامعه"", ""I-LANDMARK""]]"
شارع الشباب شقه رقم 14 خلف مدرسه النور المنوفيه عقار الوطني الدور ١١ حي المرج,"{""CITY"": ""المنوفيه"", ""AREA"": ""المرج"", ""STREET"": ""الشباب"", ""LANDMARK"": ""مدرسه النور"", ""BUILDING"": ""الوطني"", ""FLOOR"": ""١١"", ""APARTMENT"": ""14""}","[[""شارع"", ""O""], [""الشباب"", ""B-STREET""], [""شقه"", ""O""], [""رقم"", ""O""], [""14"", ""B-APARTMENT""], [""خلف"", ""O""], [""مدرسه"", ""B-LANDMARK""], [""النور"", ""I-LANDMARK""], [""المنوفيه"", ""B-CITY""], [""عقار"", ""O""], [""الوطني"", ""B-BUILDING""], [""الدور"", ""O""], [""١١"", ""B-FLOOR""], [""حي"", ""O""], [""المرج"", ""B-AREA""]]"
دور 14 ورا سوبر ماركت الامل حي حلوان شقه 15,"{""AREA"": ""حلوان"", ""LANDMARK"": ""سوبر ماركت الامل"", ""FLOOR"": ""14"", ""APARTMENT"": ""15""}","[[""دور"", ""O""], [""14"", ""B-FLOOR""], [""ورا"", ""O""], [""سوبر"", ""B-LANDMARK""], [""ماركت"", ""I-LANDMARK""], [""الامل"", ""I-LANDMARK""], [""حي"", ""O""], [""حلوان"", ""B-AREA""], [""شقه"", ""O""], [""15"", ""B-APARTMENT""]]"
التجمع الخامس بيت 14 الطابق 17 اسكندريه شارع الفلاح شقه رقم ١١,"{""CITY"": ""اسكندريه"", ""AREA"": ""التجمع الخامس"", ""STREET"": ""الفلاح"", ""BUILDING"": ""14"", ""FLOOR"": ""17"", ""APARTMENT"": ""١١""}","[[""التجمع"", ""B-AREA""], [""الخامس"", ""I-AREA""], [""بيت"", ""O""], [""14"", ""B-BUILDING""], [""الطابق"", ""O""], [""17"", ""B-FLOOR""], [""اسكندريه"", ""B-CITY""], [""شارع"", ""O""], [""الفلاح"", ""B-STREET""], [""شقه"", ""O""], [""رقم"", ""O""], [""١١"", ""B-APARTMENT""]]"
